index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
111,1.192127,1.697512,MGC,0.873040,0.365709,1.040774,0.620795
112,1.157717,1.459132,MGC,1.031344,0.380800,1.194005,0.555638
113,1.406805,1.369878,HWC,0.432244,0.451012,0.608083,0.617831
114,1.100658,1.504215,MGC,0.910532,0.263569,1.002184,0.396465
115,1.225772,1.319031,MGC,0.638050,0.455706,0.782103,0.601090
116,1.165864,1.567494,MGC,0.702457,0.230881,0.818970,0.361904
117,1.162865,1.647748,MGC,0.928839,0.304727,1.080115,0.502113
118,1.275176,1.770950,MGC,0.685352,0.294990,0.873945,0.522413
119,1.355689,1.704896,MGC,0.365845,0.286237,0.495972,0.488004
120,1.328499,1.595432,MGC,0.648655,0.370618,0.861737,0.591297
121,1.225186,1.444215,MGC,0.441273,0.406227,0.540642,0.586679
122,1.228316,1.599458,MGC,0.576013,0.350660,0.707525,0.560866
123,1.152310,1.661088,MGC,0.915071,0.339849,1.054445,0.564519
124,1.278232,1.750345,MGC,0.662573,0.271571,0.846922,0.475344
125,1.331656,1.323086,HWC,0.528061,0.326958,0.703196,0.432593
126,1.123786,1.190518,MGC,0.878895,0.820946,0.987690,0.977351
127,1.283822,2.030151,MGC,0.544327,0.194074,0.698819,0.394000
128,1.256760,1.425407,MGC,0.708744,0.455301,0.890720,0.648989
129,1.197050,1.615117,MGC,0.686601,0.335522,0.821897,0.541907
130,1.165945,1.456697,MGC,0.782387,0.467951,0.912220,0.681663
131,1.290088,1.475532,MGC,0.628754,0.470952,0.811148,0.694905
132,1.432133,2.683583,MGC,0.432029,0.125788,0.618724,0.337563
133,1.117135,1.384614,MGC,0.937048,0.527963,1.046810,0.731024
134,1.296925,1.223046,HWC,0.762382,0.550022,0.988752,0.672702
135,1.164949,1.621177,MGC,0.834138,0.319047,0.971729,0.517231
136,1.436768,1.582395,MGC,0.441896,0.423450,0.634902,0.670065
137,1.285212,1.524755,MGC,0.706543,0.459082,0.908057,0.699987
138,1.148484,1.675997,MGC,0.945303,0.296121,1.085666,0.496298
139,1.412940,1.893199,MGC,0.414754,0.218916,0.586022,0.414452
