index,source_line_no,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
407,1911,1.263214,1.751105,MGC,0.860585,0.497308,1.087103,0.870838
408,1913,1.354882,1.559102,MGC,1.059098,0.436820,1.434953,0.681047
409,1915,1.247863,2.255759,MGC,1.136266,0.300836,1.417905,0.678614
410,1916,1.319029,1.598794,MGC,1.074027,0.552248,1.416673,0.882930
411,1917,1.377156,2.171619,MGC,0.639366,0.306787,0.880507,0.666225
412,1922,1.490189,1.564244,MGC,0.338093,0.347186,0.503822,0.543084
413,1927,1.304788,2.003959,MGC,0.733538,0.287978,0.957112,0.577095
414,1928,1.420541,1.506906,MGC,0.234622,0.240070,0.333290,0.361763
415,1946,1.438579,1.785274,MGC,1.157450,0.377921,1.665083,0.674693
416,1950,1.266477,1.671768,MGC,0.894176,0.292200,1.132453,0.488491
417,1956,1.242234,2.246740,MGC,1.080443,0.157880,1.342163,0.354716
418,1957,1.594922,2.522763,MGC,0.570174,0.310873,0.909383,0.784259
419,1961,1.678644,2.594313,MGC,0.908168,0.307625,1.524492,0.798076
420,1965,1.506639,1.190659,HWC,0.669708,1.051201,1.009009,1.251623
421,1968,1.270924,1.618898,MGC,1.191525,0.351217,1.514338,0.568585
422,1969,1.956109,2.298605,MGC,0.279241,0.274031,0.546227,0.629890
423,1971,1.336613,1.400671,MGC,0.496570,0.613039,0.663722,0.858666
424,1975,1.291927,1.776824,MGC,0.614769,0.402690,0.794237,0.715510
425,1980,1.430271,2.395732,MGC,0.636582,0.257769,0.910484,0.617546
426,1985,1.624833,2.087627,MGC,0.524844,0.258152,0.852784,0.538925
427,1987,1.356777,1.762065,MGC,0.691520,0.462760,0.938238,0.815413
428,1988,1.182678,1.801136,MGC,0.751392,0.430683,0.888655,0.775719
429,1991,1.391976,1.959461,MGC,0.699051,0.305754,0.973063,0.599113
430,1992,1.244536,1.488425,MGC,0.657436,0.619217,0.818203,0.921658
431,1994,1.356953,1.884363,MGC,0.627766,0.182248,0.851849,0.343421
432,1995,1.655528,1.996375,MGC,0.479336,0.446198,0.793555,0.890778
433,1996,1.323661,3.221607,MGC,1.396594,0.140979,1.848617,0.454179
