line_num,human_npr,lm_npr,winner,human_logrank,lm_logrank,human_perturbed_logrank,lm_perturbed_logrank
1428,1.980821,1.956055,HWC,0.343548,0.343548,0.680507,0.671999
1429,1.258842,1.375251,MGC,0.459704,0.536948,0.578694,0.738438
1430,1.243256,1.481137,MGC,0.808369,0.388173,1.005009,0.574937
1433,1.377591,1.462223,MGC,0.432034,0.377111,0.595166,0.551420
1438,1.627058,1.803092,MGC,0.309490,0.334731,0.503559,0.603550
144,1.422586,1.496862,MGC,0.519535,0.621749,0.739084,0.930673
1441,1.241395,1.218411,HWC,0.758252,0.789935,0.941290,0.962465
1443,1.365504,1.371043,MGC,0.510721,0.547244,0.697391,0.750295
1444,1.231149,1.531465,MGC,0.589970,0.301276,0.726341,0.461393
1446,1.411166,1.661698,MGC,0.642545,0.394487,0.906738,0.655518
1448,1.973055,2.171893,MGC,0.320099,0.243446,0.631573,0.528739
1449,1.491699,1.522151,MGC,0.451891,0.510713,0.674086,0.777382
145,1.549167,1.493239,HWC,0.396647,0.528709,0.614473,0.789490
1450,1.524852,1.693446,MGC,0.363918,0.381389,0.554922,0.645861
1451,1.216517,1.347425,MGC,0.908984,0.726152,1.105795,0.978435
1452,1.330345,1.471912,MGC,0.803309,0.608486,1.068679,0.895639
1455,1.200826,1.497363,MGC,0.747860,0.439989,0.898050,0.658824
1456,1.937860,1.935741,HWC,0.238656,0.319727,0.462481,0.618910
1458,1.428074,1.923501,MGC,0.523985,0.238289,0.748290,0.458349
146,1.461741,1.605266,MGC,0.512192,0.474753,0.748692,0.762104
1460,1.507859,1.634698,MGC,0.401432,0.338417,0.605303,0.553209
1461,1.393400,1.422176,MGC,0.390486,0.441007,0.544104,0.627190
1463,1.191270,1.566075,MGC,0.639317,0.321144,0.761599,0.502936
1465,1.426587,1.588736,MGC,0.555472,0.498875,0.792430,0.792580
1466,1.408132,1.442249,MGC,0.637026,0.604570,0.897018,0.871941
1467,1.394638,1.931735,MGC,0.526441,0.329963,0.734195,0.637402
1468,1.304088,1.503679,MGC,0.677019,0.896474,0.882892,1.348010
147,1.486174,1.693721,MGC,0.482041,0.400004,0.716396,0.677496
1471,1.344057,2.354716,MGC,0.479638,0.093208,0.644661,0.219479
1472,1.337835,2.037125,MGC,0.628910,0.177099,0.841377,0.360773
1473,1.411440,1.964200,MGC,0.521487,0.268933,0.736047,0.528237
1476,1.377096,1.918440,MGC,0.339677,0.290436,0.467768,0.557184
1479,1.285046,1.199655,HWC,0.465125,1.268229,0.597707,1.521437
148,1.317766,1.458893,MGC,0.566030,0.795257,0.745895,1.160194
1480,1.255905,2.889198,MGC,0.621712,0.118428,0.780812,0.342163
1481,1.389632,1.421747,MGC,0.530321,0.489098,0.736951,0.695373
1482,1.262181,1.294101,MGC,0.678121,0.738024,0.855912,0.955078
1486,1.437880,1.612206,MGC,0.429010,0.356852,0.616865,0.575320
1487,1.516983,1.910264,MGC,0.468098,0.285269,0.710096,0.544939
1488,1.918301,1.990000,MGC,0.170947,0.160556,0.327928,0.319506
1489,1.330366,1.406477,MGC,0.547650,0.478006,0.728575,0.672305
1492,1.322218,1.766801,MGC,0.384963,0.326109,0.509005,0.576170
1493,1.336218,1.633155,MGC,0.447872,0.341616,0.598455,0.557912
1494,1.270833,1.497795,MGC,0.643190,0.573270,0.817388,0.858642
1496,1.308954,1.246380,HWC,0.637875,1.080148,0.834949,1.346275
15,1.456958,1.490299,MGC,0.331966,0.429134,0.483660,0.639538
1502,1.294493,1.668010,MGC,0.355988,0.229876,0.460824,0.383436
1504,1.389634,2.631727,MGC,0.528434,0.148198,0.734329,0.390016
1505,1.219537,1.902576,MGC,0.953385,0.334372,1.162688,0.636168
1506,1.539230,1.654651,MGC,0.387290,0.330851,0.596129,0.547444
1511,1.342373,1.599902,MGC,0.804129,0.498187,1.079442,0.797050
1513,1.510253,1.409375,HWC,0.483377,0.746444,0.730022,1.052019
1514,1.577013,3.099449,MGC,0.332567,0.114955,0.524462,0.356298
1515,1.195911,1.406869,MGC,0.819576,0.463942,0.980140,0.652706
1519,1.250203,1.305124,MGC,0.502803,0.740613,0.628606,0.966592
152,1.222683,1.383656,MGC,0.849812,0.567839,1.039050,0.785694
1521,1.381679,4.073535,MGC,0.464987,0.090025,0.642462,0.366719
1523,1.344541,1.630728,MGC,0.512526,0.395403,0.689112,0.644795
1529,1.642773,1.780653,MGC,0.268146,0.347394,0.440502,0.618587
153,2.131391,1.746981,HWC,0.187318,0.413169,0.399248,0.721798
1530,1.326533,1.385617,MGC,0.509074,0.575360,0.675303,0.797228
1531,1.347766,1.410304,MGC,0.561258,0.552536,0.756444,0.779244
1532,1.347852,1.641162,MGC,0.535101,0.320349,0.721237,0.525744
1533,1.840078,1.980210,MGC,0.177405,0.170351,0.326439,0.337331
1534,1.422027,1.507534,MGC,0.414946,0.395302,0.590065,0.595932
1536,1.307199,1.789845,MGC,0.688504,0.404529,0.900012,0.724045
1537,1.322428,1.279438,HWC,0.476140,0.570189,0.629662,0.729522
1538,1.492576,1.802349,MGC,0.408466,0.267103,0.609666,0.481413
1539,1.375194,1.482111,MGC,0.656058,0.654662,0.902207,0.970282
1540,1.345834,1.596331,MGC,0.437349,0.289709,0.588599,0.462471
1541,1.354657,1.651736,MGC,0.481396,0.070688,0.652126,0.116757
1542,1.404964,1.941411,MGC,0.543610,0.289295,0.763752,0.561640
1543,1.356632,1.278244,HWC,0.547837,0.751989,0.743213,0.961225
1544,1.573963,1.338197,HWC,0.408623,0.788478,0.643158,1.055139
1545,1.239680,1.792899,MGC,0.534304,0.135854,0.662365,0.243573
1547,1.188476,1.376671,MGC,0.948029,0.676425,1.126710,0.931215
1548,1.188261,1.154814,HWC,0.854975,1.661176,1.015934,1.918351
1549,1.321232,1.525946,MGC,0.696736,0.621074,0.920550,0.947725
155,1.365527,1.905124,MGC,0.517480,0.280113,0.706632,0.533650
1550,1.397902,1.694511,MGC,0.554105,0.518708,0.774585,0.878956
1551,1.378749,1.512386,MGC,0.385592,0.395169,0.531634,0.597649
1552,1.586011,1.576911,HWC,0.296548,0.508520,0.470329,0.801890
1555,1.343628,1.361382,MGC,0.461296,0.656878,0.619810,0.894262
1556,1.181831,1.882405,MGC,0.592348,0.161886,0.700055,0.304736
156,1.285562,1.721711,MGC,0.624373,0.429976,0.802670,0.740294
1562,1.285133,1.207858,HWC,0.721908,1.263584,0.927748,1.526230
1565,1.525498,1.661865,MGC,0.433796,0.400668,0.661754,0.665856
1567,1.413728,1.406644,HWC,0.592846,0.635160,0.838123,0.893445
1569,1.253186,1.328826,MGC,0.667126,0.850364,0.836032,1.129986
157,1.289054,1.474310,MGC,0.620336,0.754045,0.799646,1.111696
1570,1.359038,1.589336,MGC,0.491865,0.367988,0.668463,0.584857
1571,1.917135,2.099354,MGC,0.341717,0.298795,0.655117,0.627276
1575,1.448803,1.815074,MGC,0.459930,0.414732,0.666348,0.752769
1576,1.275545,1.462879,MGC,0.809280,0.594649,1.032274,0.869900
1578,1.282401,2.237789,MGC,0.665121,0.179739,0.852951,0.402218
1580,1.304091,1.332362,MGC,0.558486,1.050639,0.728317,1.399832
1581,1.300014,4.280734,MGC,0.686679,0.061534,0.892692,0.263412
1583,1.234368,1.263859,MGC,0.797723,0.777506,0.984684,0.982658
1587,2.168424,2.177597,MGC,0.148483,0.199355,0.321973,0.434115
1589,1.491672,1.739346,MGC,0.495317,0.453891,0.738851,0.789474
1591,1.670048,1.623831,HWC,0.341430,0.413736,0.570205,0.671838
1592,1.153359,1.278807,MGC,0.831305,1.014126,0.958793,1.296872
1595,1.353493,1.266690,HWC,0.542885,1.069664,0.734791,1.354933
1597,1.277614,1.277730,MGC,0.651865,0.721193,0.832832,0.921490
1599,1.366538,1.852243,MGC,0.561403,0.315111,0.767178,0.583663
16,1.561348,1.718254,MGC,0.410843,0.347998,0.641469,0.597949
1600,1.215863,1.235340,MGC,0.656367,0.765862,0.798052,0.946100
1601,1.262403,1.495842,MGC,0.812471,0.475697,1.025666,0.711568
1608,1.461621,1.392233,HWC,0.346755,0.650906,0.506825,0.906214
