line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1068,lm,0,17,0,1.201378,1.358561,1.632145
1069,human,0,36,0,1.406369,0.705677,0.992442
1069,lm,0,33,0,1.551863,0.480484,0.745646
107,human,0,116,0,1.113518,1.518663,1.691058
107,lm,0,128,0,0.987165,2.926831,2.889265
107,lm,1,128,0,0.911396,3.769419,3.435434
107,lm,2,81,0,0.911519,3.579470,3.262756
1070,human,0,67,0,1.211720,1.060203,1.284670
1070,lm,0,87,0,1.347694,0.622467,0.838895
1071,human,0,128,0,1.304765,1.005709,1.312214
1071,human,1,128,0,1.393942,0.626257,0.872966
1071,human,2,19,0,1.184845,1.510151,1.789294
1071,lm,0,128,0,1.767252,0.422832,0.747250
1071,lm,1,128,0,1.668870,0.753634,1.257717
1071,lm,2,108,0,1.399785,0.864364,1.209924
1073,human,0,32,0,1.278684,0.746907,0.955057
1073,lm,0,22,0,1.370404,0.764409,1.047549
1076,human,0,96,0,1.274737,1.051798,1.340766
1076,lm,0,32,0,1.528951,0.853245,1.304570
1077,human,0,128,0,1.585134,0.648558,1.028051
1077,human,1,3,1,nan,nan,nan
1077,lm,0,57,0,1.701352,0.591837,1.006923
1079,human,0,46,0,1.289950,0.527294,0.680183
1079,lm,0,62,0,1.976881,0.252207,0.498583
1081,human,0,128,0,1.584891,0.401439,0.636237
1081,human,1,1,1,nan,nan,nan
1081,lm,0,14,0,1.372954,0.666943,0.915682
1082,human,0,13,0,1.087523,1.911899,2.079234
1082,lm,0,12,0,1.122081,1.671456,1.875509
1083,human,0,128,0,1.271555,1.202796,1.529422
1083,human,1,128,0,1.257626,1.294160,1.627569
1083,human,2,128,0,1.208238,1.204400,1.455202
1083,human,3,128,0,1.299331,1.341824,1.743474
1083,human,4,128,0,1.181145,1.625336,1.919758
1083,human,5,128,0,1.258074,1.624904,2.044250
1083,human,6,110,0,1.263986,1.205397,1.523605
1083,lm,0,128,0,1.757438,0.605541,1.064200
1083,lm,1,128,0,1.864260,0.408300,0.761176
1083,lm,2,128,0,1.994142,0.368954,0.735747
1083,lm,3,128,0,1.807733,0.432106,0.781132
1083,lm,4,128,0,1.622289,0.504934,0.819150
1083,lm,5,128,0,1.990967,0.365549,0.727796
1083,lm,6,111,0,1.964714,0.450965,0.886016
1084,human,0,128,0,1.235760,1.061648,1.311942
1084,human,1,128,0,1.393336,0.943437,1.314526
1084,human,2,128,0,1.197542,1.270917,1.521976
1084,human,3,128,0,1.180759,1.384333,1.634564
1084,human,4,128,0,1.172243,1.147776,1.345472
1084,human,5,27,0,1.161398,1.592433,1.849448
1085,human,0,128,0,1.209609,0.997474,1.206553
1085,human,1,128,0,1.185656,1.242850,1.473593
1085,human,2,58,0,1.182141,1.298296,1.534769
1085,lm,0,42,0,1.396548,0.813882,1.136626
1086,human,0,128,0,1.346037,0.595523,0.801596
1086,human,1,121,0,1.259931,0.758875,0.956130
1086,lm,0,28,0,1.302203,0.920307,1.198427
109,human,0,104,0,1.369795,0.964916,1.321737
109,lm,0,36,0,1.540637,0.774925,1.193879
1090,human,0,64,0,1.459937,0.575743,0.840549
1090,lm,0,12,0,1.175116,1.340662,1.575433
1092,human,0,43,0,1.646396,0.368129,0.606087
1092,lm,0,25,0,1.582860,0.473899,0.750116
1093,human,0,128,0,2.166612,0.317315,0.687499
1093,human,1,45,0,1.345715,0.997287,1.342065
1093,lm,0,62,0,2.458832,0.371189,0.912692
1095,human,0,83,0,1.429604,0.648196,0.926663
1095,lm,0,21,0,1.457809,0.499184,0.727715
1096,human,0,128,0,1.297993,0.673239,0.873860
1096,human,1,128,0,1.218508,0.775388,0.944816
1096,human,2,6,1,nan,nan,nan
1096,lm,0,127,0,1.803242,0.290406,0.523673
1097,human,0,120,0,1.373237,0.677250,0.930025
1097,lm,0,10,0,1.181335,0.948026,1.119936
11,human,0,22,0,1.175408,1.191403,1.400385
11,lm,0,11,0,1.094838,1.883285,2.061891
110,human,0,35,0,1.601111,0.436329,0.698612
110,lm,0,128,0,2.818090,0.111572,0.314420
110,lm,1,58,0,1.753721,0.214023,0.375337
1100,human,0,106,0,1.382698,0.627475,0.867608
1100,lm,0,24,0,1.266401,0.961716,1.217918
1101,human,0,66,0,1.630220,0.822385,1.340668
1101,lm,0,13,0,1.254878,1.040526,1.305734
1104,human,0,124,0,1.497443,0.427288,0.639839
1104,lm,0,128,0,2.574778,0.164792,0.424303
1104,lm,1,128,0,1.869869,0.280355,0.524227
1104,lm,2,97,0,1.928047,0.239087,0.460971
1105,human,0,32,0,1.252279,1.315658,1.647571
1109,human,0,120,0,1.617469,0.463171,0.749164
1109,lm,0,34,0,1.630540,0.619569,1.010231
111,human,0,15,0,1.098622,1.295079,1.422802
111,lm,0,82,0,1.433707,0.509417,0.730355
1110,human,0,64,0,1.548184,0.537658,0.832393
1110,lm,0,10,0,1.111769,1.420361,1.579113
1111,human,0,55,0,1.253440,1.008549,1.264156
1111,lm,0,117,0,1.818269,0.356672,0.648526
1112,human,0,60,0,1.348978,0.620100,0.836502
1112,lm,0,46,0,1.370013,0.946431,1.296623
1113,human,0,128,0,1.207100,1.137947,1.373616
1113,human,1,29,0,1.107499,1.567367,1.735857
1113,lm,0,62,0,1.536563,0.660125,1.014325
